symbol,signal_type,signal_strength,off_exchange_pct,price_change_3d,volume_trend,current_price,reasons,avg_volume
rklb_current,ðŸ”´ VENDA FORTE,3,35.70701034483508,-3.4994937279859375,0.9515943475570177,47.43000030517578,Alto off-exchange (35.7%) + queda de preÃ§o (-3.5%),15026564
soun_current,ðŸ”´ VENDA FORTE,3,46.65721397694416,-4.016391629334616,0.9195454534444298,11.710000038146973,Alto off-exchange (46.7%) + queda de preÃ§o (-4.0%),40320563
zeta_current,ðŸ”´ VENDA FORTE,3,36.21477985332626,-3.1400879660925,0.6550094252917109,16.040000915527344,Alto off-exchange (36.2%) + queda de preÃ§o (-3.1%),8059520
svm_current,ðŸ”´ VENDA FORTE,3,58.67651316118467,-2.6859526930264344,0.6079665504486849,4.710000038146973,Alto off-exchange (58.7%) + queda de preÃ§o (-2.7%),5879182
bbai_current,ðŸ”´ VENDA FORTE,3,50.18016684572654,-6.809583525125501,0.8162680539788345,7.389999866485596,Alto off-exchange (50.2%) + queda de preÃ§o (-6.8%),74989194
wbd_current,ðŸŸ  VENDA MODERADA,2,54.26927555697637,1.352361726722233,0.729425348416193,13.489999771118164,Off-exchange muito alto (54.3%),101493249
avav_current,ðŸŸ¡ COMPRA MODERADA,2,33.60461042212218,0.0293317791144756,0.7576693933950829,272.8800048828125,Off-exchange alto (33.6%) com preÃ§o estÃ¡vel,931397
qs_current,NEUTRO,0,34.030904351629026,-6.703037114507087,0.8542918212817637,11.970000267028809,Sem sinais claros,67049565
ma_current,NEUTRO,0,30.885744466507447,1.0905626420645342,0.7113901856521907,568.219970703125,Sem sinais claros,1771861
intr_current,NEUTRO,0,25.200449763660444,-2.0467885994093913,1.2122922367398221,6.699999809265137,Sem sinais claros,1653905
trip_current,NEUTRO,0,26.203614280362626,-2.3026320261198014,0.8099640113541091,17.81999969482422,Sem sinais claros,2041199
u_current,NEUTRO,0,31.538548449824255,-1.915592315388804,0.7229633411104295,32.77000045776367,Sem sinais claros,9995447
ddog_current,NEUTRO,0,23.625584961786462,4.055553012424045,1.2818650738262505,149.83999633789062,Sem sinais claros,3713561
xp_current,NEUTRO,0,18.94322294922031,-2.358488444120755,1.0756748404573688,16.559999465942383,Sem sinais claros,3943512
mrvl_current,NEUTRO,0,28.775210728737378,1.2829295543514987,0.9245925032112265,74.20999908447266,Sem sinais claros,10542700
snps_current,NEUTRO,0,28.41813837364253,-2.094657640565284,1.0375495887389525,601.5499877929688,Sem sinais claros,1740986
nvda_current,NEUTRO,0,34.31558810974111,1.592693078899859,0.8974017357217804,173.5,Sem sinais claros,134627144
dash_current,NEUTRO,0,22.307729767299787,3.8909214771137313,1.1984343555826307,249.9199981689453,Sem sinais claros,2484727
amd_current,NEUTRO,0,32.63576384726319,4.929093996260178,1.1119109603760111,166.47000122070312,Sem sinais claros,47641291
tln_current,NEUTRO,0,27.684652537628875,2.1754525100987605,0.9261925599637886,346.6199951171875,Sem sinais claros,1760771
avgo_current,NEUTRO,0,27.3650010250902,2.2877049520683945,0.7293238568893002,290.17999267578125,Sem sinais claros,16281494
oust_current,NEUTRO,0,34.908668437432766,-1.2382736526442677,0.8324462134396365,26.31999969482422,Sem sinais claros,2175078
msft_current,NEUTRO,0,20.84667052060451,1.5498106096710806,1.1066710009713934,513.7100219726562,Sem sinais claros,17167433
fcx_current,NEUTRO,0,29.753434946824857,0.11150588066548262,0.8060324503423547,44.88999938964844,Sem sinais claros,16572624
ttd_current,NEUTRO,0,24.19766064000613,1.7842398502139665,0.8200000932678958,86.13999938964844,Sem sinais claros,7290826
anet_current,NEUTRO,0,32.21833164548418,1.0969549307560233,0.7023569969704883,114.27999877929688,Sem sinais claros,5570534
googl_current,NEUTRO,0,27.922631527271434,1.5507527805800994,0.684974843643817,193.17999267578125,Sem sinais claros,57694232
amzn_current,NEUTRO,0,25.001498686987446,1.3798279591367357,0.854151489541154,231.44000244140625,Sem sinais claros,33179043
vnet_current,NEUTRO,0,28.99228865614919,-5.491985752934622,0.639179813513633,8.260000228881836,Sem sinais claros,4525800
